,Manufacturer,Model,Rated Power (kW),Cut-in Wind Speed (m/s),Rated Wind Speed (m/s),Cut-out Wind Speed (m/s),Rotor Diameter (m),Swept Area (m^2),Power Density 1 (W/m^2),Power Density 2 (m^2/kW),Hub Height (m),0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5
9,GE Wind,GE1.85-82.5,1850.0,3.0,13.0,25.0,82.5,5346.0,346.1,2.9,65/80/100,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,75.0,130.0,201.0,270.0,347.0,459.0,571.0,710.0,849.0,988.0,1126.0,1293.0,1459.0,1578.0,1697.0,1780.0,1823.0,1845.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0
10,GE Wind,GE2.3-116,2300.0,3.0,10.4,22.0,116.0,10569.0,217.6,4.6,80/94,0.0,0.0,0.0,0.0,0.0,0.0,60.74800271363394,94.71012895974374,146.41781038923858,223.49469260266702,334.8376699940737,488.59866485870845,688.2397420239382,927.6777250272236,1188.9668485362804,1446.2892889142875,1675.3262651197838,1861.5444697105854,2002.120487248721,2102.4095152242035,2171.1073090015648,2216.8648827697652,2246.776497588681,2266.0906746136875,2278.463150976858,2286.34848443233,2291.35769436301,2294.53324798096,2296.543727099804,2297.8155266284075,2298.619625289999,2299.1278497813973,2299.4490017214016,2299.651913762743,2299.780108040353,2299.8610933840873,2299.912253282317,2299.9445712262636,2299.9649863477694,2299.97788239299,2299.986028663152,2299.99117454259,2299.994425112274,2299.9964784423582
11,Vestas,V47-0.66,660.0,4.0,15.0,25.0,47.0,1735.0,380.4,2.6,40/45/50/55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,24.24,43.8,70.25,96.7,129.84,166.0,209.0,252.0,301.0,350.0,402.17,450.0,494.0,538.0,569.0,600.0,618.26,635.0,643.0,651.0,654.13,657.0,658.0,659.0,659.5,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
12,Vestas,V90-1.8,1800.0,3.0,13.0,25.0,90.0,6362.0,282.9,3.54,80/95/105,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,46.0,110.0,170.0,240.0,355.0,460.0,580.0,727.0,874.0,1047.0,1219.0,1382.0,1544.0,1642.0,1740.0,1775.0,1789.0,1795.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
13,Vestas,V90-3.0,3000.0,3.5,16.5,25.0,90.0,6362.0,471.5,2.1,80/105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,77.0,133.0,190.0,271.0,353.0,467.0,581.0,733.0,886.0,1079.0,1272.0,1484.0,1696.0,1901.0,2106.0,2298.0,2489.0,2643.0,2797.0,2874.0,2951.0,2972.0,2993.0,2996.0,2999.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
14,Vestas,V80-1.8,1800.0,4.0,15.0,25.0,80.0,5027.0,358.1,2.8,60/67/78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43,60.22,109.0,181.0,253.0,343.87,443.0,562.5,682.0,825.0,968.0,1133.91,1286.0,1434.0,1582.0,1665.0,1748.0,1771.48,1793.0,1796.0,1799.0,1799.52,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
15,REpower,MM92,2050.0,3.0,12.5,24.0,92.5,6720.0,305.1,3.3,68.5/80/100,0.0,0.0,0.0,0.0,0.0,0.0,20.0,57.0,94.0,150.0,205.0,298.0,391.0,518.0,645.0,812.0,979.0,1177.0,1375.0,1750.0,1950.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
17,Siemens,SWT-2.3-101,2300.0,3.0,12.0,20.0,101.0,8012.0,287.5,3.49,80,0.0,0.0,0.0,0.0,0.0,0.0,9.0,64.0,119.0,180.0,249.0,359.0,469.0,585.0,700.0,888.0,1075.0,1303.0,1530.0,1800.0,2010.0,2115.0,2195.0,2260.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,0.0,0.0,0.0
18,Siemens,SWT-2.3-93,2300.0,3.5,13.0,25.0,93.0,6793.0,338.2,2.96,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,53.0,100.0,163.0,278.0,393.0,537.0,682.0,860.0,1039.0,1234.0,1430.0,1580.0,1730.0,1885.0,2040.0,2140.0,2241.0,2280.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0
19,Nordtank,NTK65,65.0,3.6,13.5,25.0,16.5,213.0,305.2,3.3,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0998261880796747,3.0265631647987847,4.334123628558137,6.150523496799715,8.619999007887879,11.880814216946167,16.02455129132623,21.041050474125363,26.76959025714293,32.89081788549058,38.98443881522969,44.63756378702166,49.54913842493408,53.579121218868885,56.73334741971129,59.1121668060538,60.85645008226102,62.109256029369696,62.99574999414228,63.61644203089582,64.0478186549003,64.3460797896386,64.55156778655082,64.69279149065022,64.78968484979434,64.85608609123732,64.90155481601545,64.93267288645234,64.95396165519828,64.96852219894379,64.97847920641306,64.98528734252237,64.9899420476945,64.9931242800732,64.99529975976284,64.99678695110443
